endTime,artistName,trackName,msPlayed
2020-12-10 19:51,Lil Uzi Vert,Celebration Station,126270
2020-12-10 21:16,Lofi Fruits Music,Yellow,91858
2020-12-12 01:12,Lil Nas X,HOLIDAY,26496
2020-12-12 13:50,Lil Nas X,HOLIDAY,43444
2020-12-12 13:51,Lil Mosey,Blueberry Faygo,1787
2020-12-12 13:51,21 Savage,Glock In My Lap,78274
2020-12-12 13:52,Tee Grizzley,Satish,1927
2020-12-12 13:52,Gunna,Sold Out Dates (feat. Lil Baby),3529
2020-12-12 13:52,Young Thug,Relationship (feat. Future),11935
2020-12-12 13:57,Tee Grizzley,Payroll (feat. Payroll Giovanni),4626
2020-12-12 13:57,Juice WRLD,Conversations,3482
2020-12-12 13:57,Sam Feldt,Post Malone (feat. RANI),3831
2020-12-12 13:57,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",315346
2020-12-12 14:02,Meek Mill,Stuck in My Ways,9226
2020-12-12 14:02,Travis Scott,STARGAZING,270714
2020-12-12 14:02,Cordae,Have Mercy,25309
2020-12-12 14:05,Tee Grizzley,I Spy,3157
2020-12-12 14:05,Future,Realer N Realer,170920
2020-12-12 14:05,Rich The Kid,I Want Mo (with London On Da Track),2951
2020-12-12 14:10,Young Thug,"Guwop (feat. Quavo, Offset and Young Scooter)",315973
2020-12-12 14:14,2 Chainz,Good Drank,7654
2020-12-12 14:14,Joyner Lucas,Isis,2623
2020-12-12 14:14,Young Thug,Webbie (feat. Duke),3041
2020-12-12 14:14,Juice WRLD,Wishing Well,194621
2020-12-12 14:14,Quavo,LOST (feat. Kid Cudi),12004
2020-12-12 14:14,A Boogie Wit da Hoodie,Thug Love,2739
2020-12-12 14:14,Kodak Black,Gnarly (feat. Lil Pump),11354
2020-12-12 14:14,Eminem,Godzilla (feat. Juice WRLD),16532
2020-12-12 14:17,Juice WRLD,Make Believe,142025
2020-12-12 14:17,Young Thug,Millions,18483
2020-12-12 14:17,Lil Yachty,One Night,22698
2020-12-12 14:18,Roddy Ricch,Peta (feat. Meek Mill),1718
2020-12-12 14:18,Migos,Racks 2 Skinny,1555
2020-12-12 14:18,Trippie Redd,Death (feat. DaBaby),1718
2020-12-12 14:18,DaBaby,SAD SH*T,1648
2020-12-12 14:21,benny blanco,Graduation (with Juice WRLD),6110
2020-12-12 14:21,Lil Baby,Anyway (feat. 2 Chainz & Gucci Mane),226647
2020-12-12 14:34,A$AP Ferg,Strive (feat. Missy Elliott),9807
2020-12-12 14:34,Travis Scott,NC-17,1811
2020-12-12 14:34,Future,Hard Work Pays Off,224506
2020-12-12 14:35,Quality Control,"Pink Toes (Offset, DaBaby feat. Gunna)",30325
2020-12-12 14:35,Ayo & Teo,Like Us,2693
2020-12-12 14:36,Roddy Ricch,Intro,88212
2020-12-12 14:38,Jack Harlow,Rendezvous,113287
2020-12-12 14:40,Jack Harlow,Face Of My City (feat. Lil Baby),123446
2020-12-12 14:44,Jack Harlow,21C/Delta,214000
2020-12-12 14:46,Jack Harlow,Funny Seeing You Here,154062
2020-12-12 14:49,Jack Harlow,Way Out (feat. Big Sean),168906
2020-12-12 14:52,Jack Harlow,Already Best Friends (feat. Chris Brown),197031
2020-12-12 14:56,Jack Harlow,Keep It Light,203500
2020-12-12 14:58,Jack Harlow,Creme,156531
2020-12-12 15:01,Jack Harlow,Same Guy (feat. Adam Levine),164031
2020-12-12 15:04,Jack Harlow,Route 66 (feat. EST Gee),153360
2020-12-12 15:06,Jack Harlow,Tyler Herro,156578
2020-12-12 15:09,Jack Harlow,Luv Is Dro (feat. Static Major & Bryson Tiller),177190
2020-12-12 15:12,Jack Harlow,Whats Poppin,139741
2020-12-12 15:15,Jack Harlow,Baxter Avenue,207796
2020-12-12 15:19,Jack Harlow,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",227478
2020-12-12 15:24,Future,Stripes Like Burberry,274313
2020-12-12 15:27,Future,Over Your Head,186842
2020-12-12 15:30,Future,I Don’t Wanna Break Up,10495
2020-12-12 15:30,Future,Million Dollar Play,166636
2020-12-12 15:30,Future,Rockstar Chainz,1764
2020-12-12 15:30,Future,Rockstar Chainz,16448
2020-12-12 15:33,Future,I Don’t Wanna Break Up,144265
2020-12-12 16:50,Future,I Don’t Wanna Break Up,2103
2020-12-12 16:54,Lil Uzi Vert,Do What I Want,2397
