title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
New Money,0.759,0.507,10,-6.242,1,0.339,0.597,0,0.117,0.665,135.024,audio_features,0bbxOxG34A2mVyFUIxYeck,spotify:track:0bbxOxG34A2mVyFUIxYeck,https://api.spotify.com/v1/tracks/0bbxOxG34A2mVyFUIxYeck,https://api.spotify.com/v1/audio-analysis/0bbxOxG34A2mVyFUIxYeck,144009,4
Drankin N Smokin,0.752,0.658,0,-6.297,1,0.342,0.0421,0,0.0927,0.387,151.951,audio_features,0k7wmahjkn389wAZdz19Cv,spotify:track:0k7wmahjkn389wAZdz19Cv,https://api.spotify.com/v1/tracks/0k7wmahjkn389wAZdz19Cv,https://api.spotify.com/v1/audio-analysis/0k7wmahjkn389wAZdz19Cv,213520,4
I Don’t Wanna Break Up,0.615,0.584,1,-5.638,1,0.235,0.00405,0,0.114,0.529,162.169,audio_features,7JwmlNz8ic9ATnLn7DyAKx,spotify:track:7JwmlNz8ic9ATnLn7DyAKx,https://api.spotify.com/v1/tracks/7JwmlNz8ic9ATnLn7DyAKx,https://api.spotify.com/v1/audio-analysis/7JwmlNz8ic9ATnLn7DyAKx,243936,4
Ain't Livin Right (feat. Gunna),0.755,0.503,0,-8.06,1,0.206,0.0492,0,0.226,0.524,142.011,audio_features,0JR7iZZ6Ql79sXW3rbiS3F,spotify:track:0JR7iZZ6Ql79sXW3rbiS3F,https://api.spotify.com/v1/tracks/0JR7iZZ6Ql79sXW3rbiS3F,https://api.spotify.com/v1/audio-analysis/0JR7iZZ6Ql79sXW3rbiS3F,230533,4
Too Comfortable,0.935,0.472,3,-9.304,0,0.0575,0.0455,0,0.19,0.659,130.041,audio_features,0biVzpdI2z0vAxwfU9xuuA,spotify:track:0biVzpdI2z0vAxwfU9xuuA,https://api.spotify.com/v1/tracks/0biVzpdI2z0vAxwfU9xuuA,https://api.spotify.com/v1/audio-analysis/0biVzpdI2z0vAxwfU9xuuA,236819,4
How We Coming,0.876,0.513,1,-7.743,1,0.39,0.35,0,0.111,0.266,134.949,audio_features,0oxfifOPoqzmWlTT2Tnu3k,spotify:track:0oxfifOPoqzmWlTT2Tnu3k,https://api.spotify.com/v1/tracks/0oxfifOPoqzmWlTT2Tnu3k,https://api.spotify.com/v1/audio-analysis/0oxfifOPoqzmWlTT2Tnu3k,229434,4
Black Beatles,0.794,0.632,0,-6.163,1,0.0649,0.142,0,0.128,0.355,145.926,audio_features,6fujklziTHa8uoM5OQSfIo,spotify:track:6fujklziTHa8uoM5OQSfIo,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,291893,4
Sauce It Up,0.813,0.528,6,-6.305,0,0.313,0.0715,0,0.125,0.131,79.532,audio_features,1uL78kFWxhz3umTMWJu8n5,spotify:track:1uL78kFWxhz3umTMWJu8n5,https://api.spotify.com/v1/tracks/1uL78kFWxhz3umTMWJu8n5,https://api.spotify.com/v1/audio-analysis/1uL78kFWxhz3umTMWJu8n5,207039,4
Way 2 Sexy (with Future & Young Thug),0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,audio_features,0k1WUmIRnG3xU6fvvDVfRG,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/tracks/0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/audio-analysis/0k1WUmIRnG3xU6fvvDVfRG,257605,4
Accepting My Flaws,0.769,0.586,2,-8.609,1,0.385,0.169,6.6e-06,0.138,0.137,90.978,audio_features,6n6CmyLTCIXJCPZnv7h2rn,spotify:track:6n6CmyLTCIXJCPZnv7h2rn,https://api.spotify.com/v1/tracks/6n6CmyLTCIXJCPZnv7h2rn,https://api.spotify.com/v1/audio-analysis/6n6CmyLTCIXJCPZnv7h2rn,259071,4
